title,creator,date,youtubeId,tags
Download Envoy from F-Droid,Foundation,8/17/22,KW3qYZ83ZGA,Envoy
Connecting Envoy to Your Own Bitcoin Node,Foundation,8/17/22,kKWAaVaGsN4,"Electrum Rust Server (Electrs),Envoy"
Easily Set up a Bitcoin Node on a Raspberry Pi 4: Umbrel,Luke's Tech,8/20/22,fO_SoWeeIRI,"Umbrel,Bitcoin Core"
JAM: Revamped UI for JoinMarket P2P Coinjoin,Ian Major,8/20/22,iWFBHgEiBIY,"JAM,Coinjoin (JoinMarket),Umbrel"
Tapsigner Beginner Guide: How to Use with Nunchuk Wallet,Coinkite,8/23/22,wTX-wZGGDsE,"Tapsigner,Nunchuk"
BTCPay Server- Setup an Automatic Email When a Payment is Received,BTCPay Server,8/24/22,RylpDWt30uc,BTCPay Server
Blockstream Jade Passphrases,Blockstream,8/29/22,QKczFUUcXw4,Jade
BlueWallet ColdCard MK4 Tutorial,Rhett Reisman,9/5/22,wnuhdQWytls,"BlueWallet,ColdCard MK(1-4)"
Nunchuk Tutorial: Collaborative Bitcoin Multisig Made Easy,Ian Major,9/8/22,ZE8F7laSX84,"Nunchuk,Verifying Downloads,Ledger Nano(S/X),Multisig"
Foundation Passport: Bitcoin Hardware Wallet/Signing Device Tutorial,BTC Sessions,9/9/22,_uGZHg64wwA,"Passport Core,Envoy,BlueWallet,Encrypted Backups"
LNbits: The Most Powerful App For Your Bitcoin Lightning Node,Jonathan Levi,9/14/22,ZTjFalYeOlA,LNbits
Raspiblitz,BTC Sessions,9/18/22,DTHlSPMz3ns,"Raspiblitz,Ride The Lightning"
Unchained Capital Review and Multisig Vault Tutorial,Rhett Reisman,9/19/22,V1Krw5dZc28,"Unchained/Caravan,Multisig,Ledger Nano(S/X),ColdCard MK(1-4)"
Tapsigner Tabletop Guide w/ Nunchuk,Coinkite,9/21/22,NJkCcnpne9Q,"Tapsigner,Nunchuk"
Satscard Tabletop Guide w/ Nunchuk,Coinkite,9/22/22,h-hJz9hZgLQ,"Satscard,Nunchuk"
Umbrel- How to Use Your Bitcoin and Lightning Node,BTC Sessions,9/23/22,Fa9AvF4jk1o,"Umbrel,Sparrow,Bitcoin Core,Electrum Rust Server (Electrs),Lightning Network Daemon (LND),Zeus"
Passport Hardware Wallet- Manual Setup,Foundation,9/23/22,UKzMHsjJFYU,Passport Core
DIY Trezor One,Crypto Guide,9/26/22,t9zNOsTXjvo,"Trezor One,Verifying Downloads"
Satscard Beginner Guide: How to Anonymously Pass Bitcoin Along,Coinkite,9/29/22,u_JWnWxiVlg,"Satscard,Nunchuk"
Privacy Options in Blockstream Green,Blockstream,9/29/22,aqer3iKXyO0,"Blockstream App,Electrum Rust Server (Electrs),Umbrel"
Wasabi Wallet: How to Install and Create a Wallet,Wasabi Wallet,9/30/22,QHIpEYYqddE,Wasabi
How to Verify Signatures with GPG,BTC Sessions,9/30/22,U0I-ImS_r8o,"Verifying Downloads,Specter Desktop"
Practice Bitcoin Self-Custody with Passport and Envoy,Foundation,9/30/22,nRGFAHlYIeU,"Passport Core,Envoy"
Nunchuk Collaborative Bitcoin Wallet with SeedSigner (Multisig),Hardcore Bitcoiner,10/1/22,K6RUZQCSo3k,"Nunchuk,Multisig,SeedSigner"
Using myNode,MyNode,10/3/22,c3rTlalVDEA,MyNode
Using Passport Hardware Wallet with BTCPay Server,Foundation,10/4/22,ZlSiBtEiSA4,"Passport Core,BTCPay Server"
ColdCard- Use Your Bitcoin Hardware with NFC,BTC Sessions,10/5/22,eLG8Atcd-l4,"ColdCard MK(1-4),Nunchuk,Multisig"
Wasabi Wallet: How to Receive Bitcoin,Wasabi Wallet,10/6/22,Wjc00GBn-OQ,Wasabi
Sending Bitcoin from Jade to Green,Blockstream,10/6/22,TfLaw8ai-Ws,"Jade,Blockstream App"
Keeper Demo: ColdCard + Tapsigner + Ledger,Bithyve,10/13/22,Pj9EDgu1FD8,"Bitcoin Keeper,ColdCard MK(1-4),Tapsigner,Ledger Nano(S/X)"
Wasabi Wallet: How To Send Bitcoin,Wasabi Wallet,10/18/22,vCI5aza-lv0,Wasabi
BlueWallet Multisig Review,Rhett Reisman,10/24/22,T93Vm6fB3vs,"BlueWallet,Multisig,ColdCard MK(1-4)"
Satscard Tutorial and Review,Darren Honeysett,11/6/22,ExZJtBpcMXw,"Satscard,Nunchuk"
Update Passport Firmware From Your Phone with Envoy,Foundation,11/9/22,tH63FUlROZ8,"Passport Core,Envoy"
How to Set Up a Trezor Hardware Wallet,Trezor,11/10/22,HuVH_9hnUu8,Trezor T
How to Create a Bitcoin Timelocked Address,Bitcoin Education,11/15/22,lW-l73AV0wI,"Timelocks,Electrum"
Foundation Passport Bitcoin Hardware Wallet,Ian Major,11/18/22,ew0Pv0n7buA,"Passport Core,Envoy"
Peach Bitcoin Tutorial: Buy P2P Bitcoin,Crypto Friday,12/2/22,T0ksHU40uro,"Peach,Non-KYC"
How to Setup and Use Electrum Wallet,Tech Express,12/4/22,ZGLWPFmYwrY,Electrum
Start9 Embassy: Bitcoin Node and Personal Server Tutorial,BTC Sessions,12/6/22,DKBJ3_3ZomU,"Start9,Bitcoin Core,Sparrow,Specter Desktop,Ride The Lightning"
Krux on Maix Amigo + Blue Wallet,Crypto Guide,12/9/22,EtV_Iw6a0O0,"Krux,BlueWallet,Verifying Downloads"
Keeper Demo: Tapsigner + Signing Server + Mobile Key,Bithyve,12/14/22,P3-dXCSypBs,"Bitcoin Keeper,Tapsigner,Multisig"
Bitcoin Keeper Demo: SeedSigner + Jade + Tapsigner,Bithyve,12/14/22,Wp5K4TO04u4,"Bitcoin Keeper,SeedSigner,Jade,Tapsigner"
Non-KYC Bitcoin Direct to Your Trezor (Hodl Hodl Integration),BTC Sessions,12/14/22,8S7fvl1X07k,"Hodl Hodl,Trezor One,Trezor T,Trezor Safe,Non-KYC"
BTCPayServer and ColdCard Wallet,BTCPay Server,12/28/22,XyqvYaXMfNU,"BTCPay Server,ColdCard MK(1-4)"
Multisig Demo using Tapsigner + Ledger + Seedsigner + ColdCard,Bithyve,12/30/22,uhpLbFfMEZU,"Bitcoin Keeper,Tapsigner,Ledger Nano(S/X),SeedSigner,ColdCard MK(1-4),Passport Core"
Keystone Hardware Wallet: Security Meets Usability,Ian Major,12/31/22,KXcyhFyuvhI,Keystone
Blockstream Jade,KF Chan,1/3/23,8rr7dF2F8t0,"Jade,SeedQR,Blockstream App"
"Create a Bitcoin Wallet + Seed Phrase with Dice, Pen and Paper",BTC Sessions,1/4/23,LxTkLwpV1Po,"Seed Phrases (General),SeedSigner"
Krux on M5StickV + Sparrow Wallet,Crypto Guide,1/6/23,rsdvmIcucwQ,"Krux,Sparrow"
Blockstream Jade: How to Reset and Restore via SeedQR,Bitcoiner Malaysia,1/6/23,rT1SThvKFeo,"Jade,SeedQR"
How to Connect Sparrow Wallet to a Bitcoin Core Node,Southern Bitcoiner,1/9/23,9Aw6OAXxE_Y,"Sparrow,Bitcoin Core"
Joinmarket: JAM App for Easy BTC Coinjoin,BTC Sessions,1/13/23,FbyjG2upGO8,"JAM,Coinjoin (JoinMarket),Start9"
BTCPay Server Setup on Digital Ocean Full Guide,Vasker Media,1/14/23,Ephzh9UzHHg,BTCPay Server
Wasabi Wallet: How to Send & Receive Bitcoin,Wasabi Wallet,1/20/23,UbOAbXjzBJg,"Wasabi,Coinjoin (Wabisabi)"
Using Passport Hardware Wallet with Sparrow Desktop Wallet,Foundation,1/23/23,tbT6tlr0uyk,"Passport Core,Sparrow"
Simple Bitcoin Inheritance Planning with Nunchuk,BTC Sessions,1/26/23,kizqvBY4zPE,"Nunchuk,Multisig,Jade,Tapsigner,ColdCard MK(1-4)"
Using Passport Hardware Wallet with Nunchuk Mobile,Foundation,1/27/23,NG4pQKrGgVQ,"Passport Core,Nunchuk"
How to Securely Set Up a Trezor Model T,Rhett Reisman,1/30/23,whFsn8KxFkA,Trezor T
Entropia- Generate Permissionless Bitcoin Wallets,BTC Sessions,2/1/23,dCAr2urEe1o,"Seed Phrases (General),SeedSigner,SeedQR,Nunchuk"
How to Use Sparrow & Cold Storage Options,88 Sats Radio,2/1/23,DjAF_jkSQeE,Sparrow
Using an Old Phone as a Hardware Wallet,BTC Sessions,2/8/23,f-8elm8xCLs,"BlueWallet,Sparrow,Signing Devices (General)"
How to Accept Bitcoin Lightning Payments for E-Commerce,Ian Major,2/10/23,gocNXNe5DT4,"Voltage,Lightning Network Daemon (LND),BTCPay Server"
Blockstream Jade Airgapped- Bitcoin Hardware Wallet,Bitcoiner Malaysia,2/11/23,UhysvX2sLoQ,"Jade,Blockstream App,BlueWallet"
BIP 85: Offensive Entropy,justh0dl,2/12/23,dOkyDHeYbhQ,Child Seeds (BIP 85)
How to Set Up a New KeepKey,KeepKey,2/13/23,js6VMMvz9aQ,KeepKey
Using Passport Hardware Wallet with Specter Desktop,Foundation,2/14/23,U_EntPUO4yY,"Passport Core,Specter Desktop"
BIP 85: Offensive Entropy Pt 2,justh0dl,2/20/23,qL_jQU3rw-Q,Child Seeds (BIP 85)
Alby: Connecting Your Web Browser to the Bitcoin Lightning Network,Ian Major,2/24/23,eYlFHTGZhq4,"Alby,Bitrefill"
Cashu Tutorial- Chaumian Ecash on Bitcoin,BTC Sessions,2/27/23,riTRD0BdMDI,"Cashu,Nutstash,LNbits"
How to Coinjoin in BTCPay Server,Wasabi Wallet,3/1/23,zGVCrwMKKn0,"BTCPay Server,Coinjoin (Wabisabi)"
Using Passport Hardware Wallet with Bitcoin Keeper- Multisig,Foundation,3/1/23,NGSRMoGZn-w,"Passport Core,Bitcoin Keeper,Multisig"
Unchained Capital Caravan Multisig Wallet,Rhett Reisman,3/6/23,rhEJJ8jrEoI,"Unchained/Caravan,Ledger Nano(S/X),Trezor T,ColdCard MK(1-4),Multisig"
How to Safely Update Sparrow Wallet: Download and Verify Latest Version,Southern Bitcoiner,3/8/23,IThaolnDgSo,"Sparrow, Verifying Downloads"
BTCPay Server- How to Connect Your Hardware Wallet with BTCPay Vault,BTCPay Server,3/9/23,s4qbGxef43A,"BTCPay Server,Jade"
How to Fix Your Raspberry Pi 4 Umbrel OS,Rhett Reisman,3/13/23,RoQZc6pTolI,"Umbrel,Bitcoin Core,Lightning"
Blockstream Jade: Hardware Wallet Review,Chris Bagnell,3/13/23,p7bax7FxxTE,"Jade,Blockstream App"
Trezor Hardware Wallet Tutorial,theBTCcourse,3/14/23,TJOHrxE-Fp4,"Trezor One,Sparrow"
Bitcoin Multisig Wallet with Unchained Capital,theBTCcourse,3/15/23,iscBOtm9dVs,"Unchained/Caravan,Multisig,Ledger Nano(S/X)"
BTCPay Coinjoin Scientist Mode Explained,Wasabi Wallet,3/15/23,g5nFckPfPcA,"BTCPay Server,Coinjoin (Wabisabi)"
Bitcoin Multisig Wallet with Casa,theBTCcourse,3/16/23,6zPYnkRGi-4,"Casa,Multisig,Trezor One"
How to Buy & Sell Bitcoin on Robosats (Non-KYC),theBTCcourse,3/21/23,52snf3x2KKA,"Robosats,Non-KYC"
Exploring the Blockstream Jade QR Scan,Blockstream,3/23/23,Cvm0zUCvfMo,"Jade,SeedQR,Nunchuk"
How to Buy Bitcoin on the Bisq Network (Non-KYC),theBTCcourse,3/30/23,nU1s1Rk3no8,"Bisq,Non-KYC"
IBEXPay: The Easiest Way to Accept Bitcoin Lightning Payments,Ian Major,3/31/23,q_maOYxBtbs,"IBEXPay,Lightning"
DIY Bitcoin Hardware Wallet Running Blockstream Jade Firmware (ESP 32),Crypto Guide,4/2/23,PeqP6oVnlIs,Jade
Setting Up SeedQR with Blockstream Jade,Blockstream,4/4/23,Kx7fHgfUZ6w,"Jade,SeedQR"
"ColdCard MK4 Tutorial, Review & Setup with Specter Wallet",Darren Honeysett,4/4/23,cNo6TwMA4mg,"ColdCard MK(1-4),Specter Desktop"
Keystone Hardware Wallet Tutorial,theBTCcourse,4/4/23,r-gzk6laFH4,"Keystone,Sparrow"
"ColdCard Hardware Wallet Tutorial- Secure, Send & Receive Bitcoin",theBTCcourse,4/6/23,0rVce24dVJQ,"ColdCard MK(1-4),Sparrow"
How-to-use B2X: A Complete Guide,Ledn,4/10/23,LJvPaskv2RU,Ledn
How-to-use: Bitcoin-backed loans,Ledn,4/10/23,ia5Id2_mCLQ,Ledn
Border Wallets: Storing Bitcoin in Your Brain,BTC Sessions,4/12/23,wHQrvCGVkTw,"Border Wallet,Sparrow"
Tapsigner (NFC) Bitcoin Wallet Tutorial,theBTCcourse,4/13/23,sP2sTyHqXQU,"Tapsigner,Nunchuk"
How to Set Up a Blockstream Jade with Green,Blockstream,4/17/23,7aacxnc6DHg,"Jade,Blockstream App"
How to Create Bitcoin Wallet: Blockstream Green,Blockstream,4/17/23,dxi4aRDCY1Q,Blockstream App
How to Set up a 2FA Protected Account: Blockstream Green,Blockstream,4/17/23,CyCQjjSYIBY,Blockstream App
How to Receive Bitcoin to a Jade Wallet,Blockstream,4/18/23,CVtcDdiPqLA,"Jade,Blockstream App"
"How to Buy, Sell and Send Bitcoin with River Financial",theBTCcourse,4/18/23,ahRDeaL104I,River
WabiSabi Coinjoin Explained in 3 Minutes,Wasabi Wallet,4/20/23,dGATztn5Ql8,Coinjoin (Wabisabi)
How to Use Jade with Specter,Blockstream,4/21/23,nm0pkCatNr0,"Jade,Specter Desktop"
BIP 85: Segregated Bitcoin Accounts from One Seed,BTC Sessions,4/26/23,cRRB_WzZpTM,"Child Seeds (BIP 85),ColdCard MK(1-4)"
Muun Wallet Tutorial (Bitcoin Lightning Network Wallet),MoneyZG,4/27/23,uOl3_vjZKOA,"Muun,Lightning"
Zeus: Self-Custodial Bitcoin Lightning on Mobile,Ian Major,4/30/23,oIohVX7PeAA,"Zeus,Umbrel,Lightning Node Connect"
How to Verify and Update ColdCard MK3 Firmware,Southern Bitcoiner,5/1/23,WjF_KLujDg8,"ColdCard MK(1-4),Verifying Downloads"
Bull Bitcoin Review- Canada's Best Bitcoin Company,Darren Honeysett,5/1/23,Qennqc-wMgQ,Bull Bitcoin
How to Build a SeedSigner: DIY Bitcoin Hardware Wallet,Southern Bitcoiner,5/7/23,mGmNKYOXtxY,"SeedSigner,Verifying Downloads"
Sending Air-Gapped Transactions from Nunchuk with Blockstream Jade,Blockstream,5/8/23,gAnmjsLh7dM,"Jade,Nunchuk"
Lightning Node Connect: Create Family Accounts on Your Node,BTC Sessions,5/8/23,CZM6Ow8QIP0,"Umbrel,Zeus,Lightning Node Connect"
How to use Lightning Node Connect on Voltage,Voltage,5/8/23,VCIw5yx9QQg,"Lightning Node Connect,Voltage,Loop,Pool"
"Blockstream Jade: Unboxing, Setup and Review",Crypto Guide,5/10/23,z2VsgoFh78o,"Jade,Blockstream App,BlueWallet,SeedQR"
"Testing Your SeedSigner: Wallet Export, Dice Rolls, BIP 85",Southern Bitcoiner,5/15/23,34W1IyTyXZE,"SeedSigner,Child Seeds (BIP 85),Seed Phrases (General)"
Coinos Tutorial: Easiest Way to Accept Bitcoin for Your Business,Darren Honeysett,5/16/23,rshJuqwj8vg,Coinos
Envoy Recovery w/ Magic Backups,Foundation,5/17/23,p5FSspfmrjo,"Envoy,Encrypted Backups"
Envoy Onboarding w/ Magic Backups,Foundation,5/17/23,FK8i0ixh-6A,"Envoy,Encrypted Backups"
Envoy Wallet Magic Backups Explained,Foundation,5/17/23,ODHo5spGPC4,"Envoy,Encrypted Backups"
Envoy Wallet Magic Setup,Foundation,5/17/23,5Uiljp7bw2I,"Envoy,Encrypted Backups"
Muun Wallet Tutorial (2023),Money Reimagined,5/20/23,7aZIBm0Hs4s,"Muun,Lightning"
How to Use SeedSigner with Sparrow Wallet,Southern Bitcoiner,5/20/23,IQb8dh-VTOg,"SeedSigner,Sparrow,SeedQR"
How to Switch Hardware Wallets,BTC Sessions,5/24/23,9SLijVthmfE,Signing Devices (General)
How to Use SeedSigner with BlueWallet,Southern Bitcoiner,5/25/23,x0Ee35Ct0r4,"SeedSigner,BlueWallet,SeedQR"
Generate Bitcoin Seeds with Passport's Key Manager Extension,Foundation,5/25/23,XZ0vkQOn118,"Passport Core,Child Seeds (BIP 85),SeedQR,Envoy"
Keystone Wallet Review & Tutorial,Darren Honeysett,5/30/23,Y32m1B8YcvY,Keystone
DIY Blockstream Jade + Camera,Crypto Guide,6/1/23,V2yVKag2wlc,Jade
Umbrel to Start9: Migrate Your Lightning Node,BTC Sessions,6/5/23,ID:-O-BgOiV9AM,"Umbrel,Start9,Thunderhub,Lightning Network Daemon (LND)"
Bitcoin UTXO Consolidation Tutorial,Wicked Smart Bitcoin,6/10/23,krrUQGMKhPo,"UTXO Management,Sparrow,ColdCard MK(1-4)"
Importing an Airgrapped ColdCard Bitcoin Wallet into Sparrow,Wicked Smart Bitcoin,6/10/23,PnWZPgo5jbc,"ColdCard MK(1-4),Sparrow"
How to Make a 24 Word Bitcoin Seed Phrase with 256 Coins,Wicked Smart Bitcoin,6/11/23,k5h7A7kRM8Y,Seed Phrases (General)
How to Buy Non-KYC Bitcoin (Bisq),BLKBoX Trading,6/14/23,u6SJD9N1GM4,"Bisq,Non-KYC"
"How to Buy, Sell and Send Bitcoin with Strike (June 2023)",theBTCcourse,6/16/23,Jv6aLWn0VRI,"Strike,Lightning"
Bitcoin RBF (Replace By Fee) Tutorial,Wicked Smart Bitcoin,6/17/23,1LhcDJ8bgQU,"Replace By Fee (RBF),Sparrow,ColdCard MK(1-4)"
Boltz: Swap from Lightning to Liquid and On-Chain BTC,BTC Sessions,6/21/23,4w7A9wZJN-M,"Boltz,Lightning,Liquid"
Phoenix Wallet Review,Darren Honeysett,6/22/23,VPJAU7d2QUg,"Phoenix,Lightning"
Use Wasabi Wallet for Bitcoin Privacy and Coinjoin,theBTCcourse,6/23/23,U9hdav36WAo,"Wasabi,Coinjoin (Wabisabi)"
How to Setup a Bitcoin Multisig Wallet with Nunchuk (Desktop),theBTCcourse,6/26/23,wN46OzLk6Nw,"Nunchuk,Ledger Nano(S/X),Multisig"
Bitcoin UTXO Management: Sparrow Wallet,Southern Bitcoiner,6/27/23,33H3uqgmw6k,"UTXO Management,Sparrow,Coinjoin (Whirlpool)"
How to Set Up a Trezor Model One,Unchained,6/29/23,HnxvEjQGV4s,Trezor One
How to Setup a Bitcoin Multisig Wallet with Nunchuk (Mobile),theBTCcourse,6/30/23,o7STl9tt5_E,"Nunchuk,Multisig,Tapsigner,ColdCard MK(1-4),UTXO Management"
Set Up a Core Lightning Node on Umbrel,Blockstream,6/30/23,bcmq_QOnoSs,"Core Lightning,Umbrel,Boltz,Liquid"
How to Transfer Your Bitcoin from Ledger to ColdCard,Wicked Smart Bitcoin,7/5/23,tlQGO-Na7Io,"Ledger Nano(S/X),Sparrow,ColdCard MK(1-4)"
Phoenix Wallet Tutorial (Lightning Network Wallet),MoneyZG,7/5/23,nxcEAPoFGWk,"Phoenix,Lightning"
Unveiling the Bitcoin Bolt Ring: Tap and Pay Instantly!,BTC Sessions,7/10/23,uxL_pdgP-bc,"Bolt Ring, LNbits"
Redeem Azteco Vouchers with Envoy,Foundation,7/11/23,6TWEaWcyFQ0,"Envoy,Azteco"
How to Use Testnet Bitcoin in Sparrow Wallet,Southern Bitcoiner,7/13/23,7JJkLW4SHKQ,"Sparrow,Testnet"
Start9 Bitcoin Node Tutorial- DIY Hardware,Darren Honeysett,7/13/23,fgAKXfVzc7c,"Start9, Bitcoin Core"
Child Pays for Parent Bitcoin Tutorial,Rhett Reisman,7/17/23,Q62NoR2qhiw,"Child Pays For Parent (CPFP),Sparrow,BlueWallet"
Using Electrum Server on MyNode,MyNode,7/17/23,eNut9AF3o3c,"MyNode,Electrum Rust Server (Electrs)"
Enhance Your Bitcoin Journey with Start9's Server Pure,BTC Sessions,7/17/23,cDYQ6A69-D4,"Start9,Bitcoin Core,Lightning Network Daemon (LND),Thunderhub,Electrum Rust Server (Electrs)"
How to Use a ColdCard Hard Wallet for Bitcoin Self Custody,Natalie Brunell,7/18/23,IJbog_k5XWE,"ColdCard MK(1-4),Sparrow"
How to Run a Bitcoin Node,Kahoobb,7/19/23,iuPEra17PtY,Bitcoin Core
Unlocking Nunchuk's Advanced Features,BTC Sessions,7/24/23,ugzdX0Q0Cgs,"Nunchuk,Child Pays For Parent (CPFP),Start9,Multisig"
Mutiny Wallet Tutorial- Bitcoin Lightning Wallet,theBTCcourse,7/25/23,OQ2o5LUgOqE,"Mutiny,Lightning"
Mastering Blockstream Green Wallet,BTC Sessions,7/31/23,DesN85bWmGA,"Blockstream App,Lightning,Jade,Liquid"
"Connecting ColdCard MK4 Wallet: Practical Guide for Sparrow, Electrum, and Nunchuk",The CryptoDad,8/1/23,cmNr8ThgIBA,"ColdCard MK(1-4),Sparrow,Electrum,Nunchuk"
Envoy Wallet Manual Backups Explained,Foundation,8/1/23,VqJUFuxTa3M,"Envoy,Encrypted Backups"
SeedSigner BIP 85: How to Create Bitcoin Wallets,Southern Bitcoiner,8/7/23,5ZPk2aWw-9Y,"SeedSigner,Child Seeds (BIP 85),SeedQR"
Why Bull Bitcoin is a Game-Changer (No KYC!),BTC Sessions,8/7/23,UBRZKsIOpS8,"Bull Bitcoin,Non-KYC,Lightning"
Liana- A Miniscript Bitcoin Wallet with Recovery Paths,The Space,8/9/23,tE1KgBR_L1Y,"Liana,Multisig,Timelocks,Ledger Nano(S/X)"
"ColdCard MK4 Bitcoin Hardware Wallet (Unboxing, Setup, Demo and Review)",Crypto Guide,8/18/23,jBfRNpIcNxU,"ColdCard MK(1-4),Nunchuk,BlueWallet,Sparrow,Encrypted Backups,Child Seeds (BIP 85)"
How to Verify and Update ColdCard MK4 Firmware,Southern Bitcoiner,8/20/23,9rW0d6J-FeQ,"ColdCard MK(1-4),Verifying Downloads"
Bitcoin Node Box: Instructional Video,Ministry of Nodes,8/20/23,0RdftQywN6A,Bitcoin Node Box
How to Buy Non-KYC Bitcoin with Azteco,Ian Major,8/21/23,GQ6BCS4DcJ8,"Azteco,Non-KYC"
How to Download and Verify Bitcoin Core,Southern Bitcoiner,8/23/23,vFVeLrE8JpU,"Bitcoin Core,Verifying Downloads"
Dice Rolls with ColdCard: How to Generate and Verify Seeds with Dice,Southern Bitcoiner,8/24/23,hXJNLvAVar0,"Seed Phrases (General),ColdCard MK(1-4)"
How to Run a Bitcoin Node 2023: macOS,Southern Bitcoiner,8/25/23,B9LDxucqazE,Bitcoin Core
How to Install Sparrow Wallet,Kahoobb,8/31/23,YnakdtEWccg,Sparrow
Air-Gapped Bitcoin Transaction with Blockstream Jade,BTC Sessions,8/31/23,XVKsaPCe260,"Jade,Blockstream App,SeedQR,Nunchuk"
BTCPay Server: Accept Bitcoin Payments,Elestio,9/1/23,6IrSR5Mp2RU,BTCPay Server
How to Use ColdCard with Sparrow Wallet,Southern Bitcoiner,9/11/23,YMICoRQ68Rg,"Sparrow,ColdCard MK(1-4)"
"How to Set Up ColdCard MK4: Unboxing, Setting PIN, Creating a Seed",Southern Bitcoiner,9/11/23,KZMPVcr9WUQ,ColdCard MK(1-4)
How to Buy Bitcoin Directly to an External Wallet,Peach,9/14/23,d3STuVfFWfQ,"Peach,BlueWallet"
Phoenix Wallet: Splicing & the Latest Bitcoin Lightning Experience,Ian Major,9/15/23,dPKLkRK9bF8,"Phoenix,Lightning"
Bitcoin 2-of-4 Multisig Wallet Tutorial using Sparrow Wallet in Testnet,Wicked Smart Bitcoin,9/17/23,8zM_1lOXtBU,"Sparrow,Multisig,Testnet,Jade,ColdCard MK(1-4),Passport Core,Trezor One"
"DIY-only Multivendor Hardware Wallet Multisig: SeedSigner, Jade, Krux, Satochip + Sparrow & Electrum",Crypto Guide,9/21/23,JfK2m8ucuxU,"SeedSigner,Jade,Krux,Satochip,Sparrow,Multisig,Electrum"
DIY Bitcoin Hardware Wallet with Tails and Electrum,Adam Soltys,9/22/23,1e6IDTP3g5o,Electrum
How to Download and Verify Sparrow Wallet,Southern Bitcoiner,9/29/23,pOKnm4k5ywY,"Sparrow, Verifying Downloads"
How to Use Passphrase with ColdCard,Southern Bitcoiner,10/1/23,Q2F1JkxyH4k,"ColdCard MK(1-4),Sparrow"
Unlock Perfect Privacy with eNuts,BTC Sessions,10/3/23,xhDQT4TeNIU,"eNuts,Cashu,Lightning"
Passport Backups Explained,Foundation,10/5/23,fyuCy8TfTKw,"Passport Core,Seed Phrases (General),Encrypted Backups"
Keystone 3 Pro,Crypto Guide,10/5/23,eyi-YznynSk,"Keystone,BlueWallet,Sparrow"
Ledger Nano(S/X) S Plus: Unboxing and Setup,Unchained,10/6/23,HaIvxObVOHI,Ledger Nano(S/X)
How Do Hardware Wallet Actually Work?,Southern Bitcoiner,10/6/23,ao75emtwj-Y,Signing Devices (General)
How to Connect Sparrow to Bitcoin Core,Kahoobb,10/11/23,zPqOqMLJY6I,"Sparrow,Bitcoin Core"
Bitcoin-Only BitBox02 Setup & Import Into Sparrow Wallet,Wicked Smart Bitcoin,10/14/23,PPNOJLn3hQs,"BitBox,Sparrow"
Hodl Hodl: Bitcoin Lending + Borrowing Made Easy,BTC Sessions,10/19/23,w7ob2bR1rSg,"Hodl Hodl,Non-KYC,Liquid,USDT"
Bull Bitcoin Explained,Canadian Bitcoiners,10/25/23,cXbmue3JTig,Bull Bitcoin
How Secure are Bitcoin Seed Phrases (24 words),Southern Bitcoiner,10/27/23,wQPWdzFfPXY,Seed Phrases (General)
"How to Check, Delete, and Recover a Bitcoin Seed Phrase",Wicked Smart Bitcoin,10/28/23,z3sldY-4ZKM,"Seed Phrases (General),ColdCard MK(1-4),Passport Core,Jade,BlueWallet"
Is Cubit + Citadel The Next Gen Bitcoin Node?,Ian Major,10/30/23,nJva4UQwwyc,"Citadel,Bitcoin Core"
Cracking Unsafe Bitcoin Wallets + ColdCard MK4 Warning,Crypto Guide,10/31/23,oj_W3xOlt6U,"ColdCard MK(1-4),Seed Phrases (General)"
How to Setup a How Wallet with Sparrow,Kahoobb,10/31/23,dLrwqNAKGms,Sparrow
Mutiny Wallet: Bitcoin Lightning & Nostr Made Easy,BTC Sessions,11/1/23,vHQ6wgT3S2I,"Mutiny,Lightning"
Wasabi Wallet Review,Bitcoin Learning,11/6/23,JdunnZStayQ,"Wasabi,Coinjoin (Wabisabi)"
Bitcoin Core Wallet Review,Bitcoin Learning,11/6/23,ltTk-VG3wjE,"Bitcoin Core,Bitcoin Core Wallet"
Sparrow Wallet Review,Bitcoin Learning,11/6/23,SGM0GqrufYE,Sparrow
Electrum Wallet Review,Bitcoin Learning,11/6/23,FEU150anPho,Electrum
Blockstream Green Wallet Review,Bitcoin Learning,11/7/23,sp3MUKnBM1Q,Blockstream App
What is the FROST Signature Scheme,Blockstream,11/8/23,odvlj0RutJs,FROST
Installing a Bitcoin Node and Sparrow Wallet on a Mac with Parmanode,Arman the Parman,11/8/23,3KkCggxop0Y,"Parmanode,Sparrow"
Seed Vault: Store Many Bitcoin Seeds on a Single ColdCard,BTC Sessions,11/9/23,G4XIgMMhlyc,"ColdCard MK(1-4),Child Seeds (BIP 85)"
Blockstream Jade: Security for your Bitcoin and Liquid Assets,Ian Major,11/13/23,cLFmd98mKNw,"Jade,Liquid,Verifying Downloads,Blockstream App"
"Liana Wallet Tutorial- Timelocked Bitcoin Wallet, Decaying Multisig, Inheritance",Bitcoin Education,11/16/23,Brn5aSGeVec,"Liana,Multisig,Timelocks"
DIY Hardware Wallet Running Satochip on Javacard,Crypto Guide,11/24/23,1zeZa-gNjnM,Satochip
"Using Tags, Notes, and Coin Control in Envoy Bitcoin Wallet",Foundation,12/4/23,Jvtcfb9HqWg,Envoy
"Trezor Safe 3: Unboxing, Setup Guide, Demo and Review",Crypto Guide,12/8/23,qWRI4VTHiuI,Trezor Safe
